index,category,description
1037,ham email,Weekly report submission
1038,spam email,You have been selected for a prize reward
1039,ham email,Let's catch up this weekend
1040,ham email,Please find attached the project report
1041,spam email,You have been selected for a prize reward
1042,ham email,Weekly report submission
1043,ham email,"Happy birthday, have a great day"
1044,spam email,Get rich quick with this simple trick
1045,spam email,"Your account has been compromised, verify now"
1046,ham email,Reminder to submit your timesheet
1047,ham email,Meeting scheduled for tomorrow at 10 AM
1048,spam email,Act now to secure your reward
1049,spam email,"Limited offer, earn money fast from home"
1050,spam email,Urgent: update your bank details immediately
1051,ham email,Project update: tasks completed
1052,ham email,Can we reschedule our call?
1053,spam email,"Win a free iPhone now, click here"
1054,spam email,"Win a free iPhone now, click here"
1055,ham email,Can we reschedule our call?
1056,ham email,Let's catch up this weekend
1057,spam email,You have been selected for a prize reward
1058,spam email,"Win a free iPhone now, click here"
1059,ham email,Weekly report submission
1060,ham email,Let's catch up this weekend
1061,ham email,Project update: tasks completed
1062,ham email,Lunch plan for today?
1063,ham email,Weekly report submission
1064,ham email,Please find attached the project report
1065,ham email,Invitation to team meeting
1066,spam email,"Your account has been compromised, verify now"
1067,ham email,Meeting scheduled for tomorrow at 10 AM
1068,spam email,Claim your free gift card today
1069,spam email,Act now to secure your reward
1070,spam email,"Exclusive deal just for you, click now"
1071,ham email,Lunch plan for today?
1072,spam email,"Limited offer, earn money fast from home"
1073,ham email,Let's catch up this weekend
1074,spam email,"Win a free iPhone now, click here"
1075,spam email,Get rich quick with this simple trick
1076,spam email,"Limited offer, earn money fast from home"
1077,spam email,Urgent: update your bank details immediately
1078,spam email,Claim your free gift card today
1079,ham email,"Happy birthday, have a great day"
1080,spam email,Claim your free gift card today
1081,ham email,Invitation to team meeting
1082,ham email,"Happy birthday, have a great day"
1083,spam email,Urgent: update your bank details immediately
1084,ham email,Let's catch up this weekend
1085,ham email,Can we reschedule our call?
1086,ham email,Let's catch up this weekend
1087,spam email,Act now to secure your reward
1088,ham email,Can we reschedule our call?
1089,spam email,"Congratulations, you won a lottery"
1090,spam email,Urgent: update your bank details immediately
1091,spam email,You have been selected for a prize reward
1092,spam email,You have been selected for a prize reward
1093,ham email,Project update: tasks completed
1094,ham email,Lunch plan for today?
1095,ham email,"Happy birthday, have a great day"
1096,spam email,"Limited offer, earn money fast from home"
1097,spam email,Urgent: update your bank details immediately
1098,ham email,Weekly report submission
1099,spam email,Claim your free gift card today
1100,spam email,Urgent: update your bank details immediately
1101,spam email,"Congratulations, you won a lottery"
1102,ham email,Can we reschedule our call?
1103,spam email,Get rich quick with this simple trick
1104,spam email,"Win a free iPhone now, click here"
1105,ham email,Can we reschedule our call?
1106,ham email,"Happy birthday, have a great day"
1107,ham email,Weekly report submission
1108,spam email,"Congratulations, you won a lottery"
1109,spam email,Get rich quick with this simple trick
1110,spam email,"Limited offer, earn money fast from home"
1111,ham email,Invitation to team meeting
1112,ham email,Can we reschedule our call?
1113,spam email,You have been selected for a prize reward
1114,ham email,Can we reschedule our call?
1115,ham email,Reminder to submit your timesheet
1116,ham email,"Happy birthday, have a great day"
1117,ham email,Weekly report submission
1118,spam email,Get rich quick with this simple trick
1119,ham email,Invitation to team meeting
1120,spam email,"Limited offer, earn money fast from home"
1121,spam email,"Congratulations, you won a lottery"
1122,ham email,Invitation to team meeting
1123,ham email,Let's catch up this weekend
1124,ham email,Weekly report submission
1125,ham email,"Happy birthday, have a great day"
1126,spam email,"Limited offer, earn money fast from home"
1127,ham email,Reminder to submit your timesheet
1128,ham email,Weekly report submission
1129,ham email,Reminder to submit your timesheet
1130,spam email,"Congratulations, you won a lottery"
1131,spam email,"Your account has been compromised, verify now"
1132,ham email,Meeting scheduled for tomorrow at 10 AM
1133,spam email,"Exclusive deal just for you, click now"
1134,spam email,"Your account has been compromised, verify now"
1135,ham email,Invitation to team meeting
1136,ham email,Lunch plan for today?
1137,spam email,"Win a free iPhone now, click here"
1138,ham email,Please find attached the project report
1139,ham email,Lunch plan for today?
1140,ham email,"Happy birthday, have a great day"
1141,spam email,Act now to secure your reward
1142,ham email,Meeting scheduled for tomorrow at 10 AM
1143,spam email,Get rich quick with this simple trick
1144,ham email,Invitation to team meeting
1145,ham email,Weekly report submission
1146,spam email,"Win a free iPhone now, click here"
1147,ham email,Can we reschedule our call?
1148,spam email,Urgent: update your bank details immediately
1149,ham email,Weekly report submission
1150,ham email,"Happy birthday, have a great day"
1151,spam email,Urgent: update your bank details immediately
1152,ham email,Project update: tasks completed
1153,spam email,Act now to secure your reward
1154,spam email,Claim your free gift card today
1155,spam email,"Limited offer, earn money fast from home"
1156,spam email,"Limited offer, earn money fast from home"
1157,ham email,Can we reschedule our call?
1158,spam email,"Limited offer, earn money fast from home"
1159,ham email,Reminder to submit your timesheet
1160,ham email,Weekly report submission
1161,spam email,Act now to secure your reward
1162,ham email,Weekly report submission
1163,spam email,Get rich quick with this simple trick
1164,spam email,"Win a free iPhone now, click here"
1165,ham email,Invitation to team meeting
1166,spam email,"Your account has been compromised, verify now"
1167,ham email,Invitation to team meeting
1168,spam email,"Limited offer, earn money fast from home"
1169,spam email,"Congratulations, you won a lottery"
1170,ham email,Please find attached the project report
1171,spam email,Claim your free gift card today
1172,ham email,Meeting scheduled for tomorrow at 10 AM
1173,ham email,Meeting scheduled for tomorrow at 10 AM
1174,spam email,"Congratulations, you won a lottery"
1175,ham email,Meeting scheduled for tomorrow at 10 AM
1176,ham email,Reminder to submit your timesheet
1177,spam email,"Exclusive deal just for you, click now"
1178,ham email,"Happy birthday, have a great day"
1179,spam email,Act now to secure your reward
1180,spam email,Get rich quick with this simple trick
1181,spam email,"Your account has been compromised, verify now"
1182,spam email,Claim your free gift card today
1183,ham email,Meeting scheduled for tomorrow at 10 AM
1184,spam email,You have been selected for a prize reward
1185,ham email,Please find attached the project report
1186,ham email,Invitation to team meeting
1187,ham email,Lunch plan for today?
1188,spam email,"Exclusive deal just for you, click now"
1189,ham email,"Happy birthday, have a great day"
1190,spam email,Act now to secure your reward
1191,ham email,Meeting scheduled for tomorrow at 10 AM
1192,spam email,"Congratulations, you won a lottery"
1193,spam email,Urgent: update your bank details immediately
1194,spam email,Get rich quick with this simple trick
1195,spam email,Get rich quick with this simple trick
1196,ham email,Invitation to team meeting
1197,ham email,Let's catch up this weekend
1198,spam email,"Limited offer, earn money fast from home"
1199,spam email,"Your account has been compromised, verify now"
1200,ham email,Let's catch up this weekend
1201,ham email,Invitation to team meeting
1202,ham email,Let's catch up this weekend
1203,ham email,Weekly report submission
1204,spam email,"Your account has been compromised, verify now"
1205,spam email,"Congratulations, you won a lottery"
1206,ham email,Please find attached the project report
1207,spam email,"Exclusive deal just for you, click now"
1208,ham email,Reminder to submit your timesheet
1209,ham email,Invitation to team meeting
1210,spam email,"Limited offer, earn money fast from home"
1211,spam email,"Win a free iPhone now, click here"
1212,spam email,"Exclusive deal just for you, click now"
1213,ham email,Reminder to submit your timesheet
1214,spam email,"Win a free iPhone now, click here"
1215,ham email,Invitation to team meeting
1216,spam email,Act now to secure your reward
1217,ham email,Meeting scheduled for tomorrow at 10 AM
1218,ham email,Can we reschedule our call?
1219,spam email,Get rich quick with this simple trick
1220,ham email,Weekly report submission
1221,ham email,Reminder to submit your timesheet
1222,ham email,Meeting scheduled for tomorrow at 10 AM
1223,spam email,"Congratulations, you won a lottery"
1224,spam email,Act now to secure your reward
1225,ham email,Invitation to team meeting
1226,ham email,Reminder to submit your timesheet
1227,spam email,Urgent: update your bank details immediately
1228,spam email,You have been selected for a prize reward
1229,spam email,"Congratulations, you won a lottery"
1230,spam email,"Your account has been compromised, verify now"
1231,ham email,Meeting scheduled for tomorrow at 10 AM
1232,spam email,"Congratulations, you won a lottery"
1233,spam email,Act now to secure your reward
1234,spam email,Act now to secure your reward
1235,ham email,Please find attached the project report
1236,ham email,"Happy birthday, have a great day"
1237,spam email,"Limited offer, earn money fast from home"
1238,ham email,Reminder to submit your timesheet
1239,ham email,Please find attached the project report
1240,ham email,Project update: tasks completed
1241,spam email,Claim your free gift card today
1242,ham email,Can we reschedule our call?
1243,ham email,Weekly report submission
1244,ham email,Weekly report submission
1245,spam email,"Congratulations, you won a lottery"
1246,ham email,Reminder to submit your timesheet
1247,ham email,Please find attached the project report
1248,spam email,Act now to secure your reward
1249,spam email,"Congratulations, you won a lottery"
1250,spam email,Claim your free gift card today
1251,spam email,Urgent: update your bank details immediately
1252,spam email,Get rich quick with this simple trick
1253,spam email,"Congratulations, you won a lottery"
1254,spam email,"Your account has been compromised, verify now"
1255,spam email,Urgent: update your bank details immediately
1256,spam email,"Exclusive deal just for you, click now"
1257,spam email,"Exclusive deal just for you, click now"
1258,ham email,Weekly report submission
1259,ham email,Meeting scheduled for tomorrow at 10 AM
1260,spam email,"Limited offer, earn money fast from home"
1261,ham email,Please find attached the project report
1262,ham email,Let's catch up this weekend
1263,ham email,Meeting scheduled for tomorrow at 10 AM
1264,ham email,Invitation to team meeting
1265,spam email,"Exclusive deal just for you, click now"
1266,ham email,Project update: tasks completed
1267,spam email,"Your account has been compromised, verify now"
1268,spam email,Claim your free gift card today
1269,ham email,Weekly report submission
1270,spam email,"Win a free iPhone now, click here"
1271,spam email,"Exclusive deal just for you, click now"
1272,ham email,Please find attached the project report
1273,spam email,You have been selected for a prize reward
1274,spam email,"Your account has been compromised, verify now"
1275,ham email,Let's catch up this weekend
1276,ham email,"Happy birthday, have a great day"
1277,spam email,Urgent: update your bank details immediately
1278,ham email,Invitation to team meeting
1279,ham email,"Happy birthday, have a great day"
1280,spam email,Claim your free gift card today
1281,ham email,Invitation to team meeting
1282,spam email,"Win a free iPhone now, click here"
1283,ham email,Lunch plan for today?
1284,ham email,Please find attached the project report
1285,ham email,Weekly report submission
1286,ham email,Invitation to team meeting
1287,spam email,"Congratulations, you won a lottery"
1288,ham email,Weekly report submission
1289,spam email,Claim your free gift card today
1290,spam email,"Win a free iPhone now, click here"
1291,ham email,Please find attached the project report
1292,spam email,"Congratulations, you won a lottery"
1293,ham email,Lunch plan for today?
1294,spam email,You have been selected for a prize reward
1295,spam email,Claim your free gift card today
1296,ham email,Let's catch up this weekend
1297,ham email,Project update: tasks completed
1298,spam email,"Limited offer, earn money fast from home"
1299,spam email,"Limited offer, earn money fast from home"
1300,ham email,Reminder to submit your timesheet
1301,spam email,"Limited offer, earn money fast from home"
1302,ham email,Can we reschedule our call?
1303,ham email,Can we reschedule our call?
1304,spam email,"Exclusive deal just for you, click now"
1305,spam email,Get rich quick with this simple trick
1306,spam email,"Your account has been compromised, verify now"
1307,spam email,"Congratulations, you won a lottery"
1308,ham email,Lunch plan for today?
1309,spam email,Act now to secure your reward
1310,ham email,"Happy birthday, have a great day"
1311,spam email,"Exclusive deal just for you, click now"
1312,spam email,"Your account has been compromised, verify now"
1313,ham email,Project update: tasks completed
1314,spam email,"Your account has been compromised, verify now"
1315,spam email,Get rich quick with this simple trick
1316,spam email,Urgent: update your bank details immediately
1317,ham email,Let's catch up this weekend
1318,ham email,Weekly report submission
1319,spam email,You have been selected for a prize reward
1320,spam email,Claim your free gift card today
1321,ham email,Reminder to submit your timesheet
1322,ham email,Please find attached the project report
1323,spam email,Act now to secure your reward
1324,ham email,Please find attached the project report
1325,ham email,Let's catch up this weekend
1326,spam email,"Congratulations, you won a lottery"
1327,ham email,Lunch plan for today?
1328,ham email,Can we reschedule our call?
1329,spam email,Get rich quick with this simple trick
1330,spam email,"Limited offer, earn money fast from home"
1331,spam email,"Exclusive deal just for you, click now"
1332,ham email,Lunch plan for today?
1333,spam email,Claim your free gift card today
1334,ham email,Please find attached the project report
1335,ham email,"Happy birthday, have a great day"
1336,ham email,Reminder to submit your timesheet
1337,ham email,Weekly report submission
1338,ham email,Weekly report submission
1339,ham email,Weekly report submission
1340,spam email,Urgent: update your bank details immediately
1341,spam email,"Your account has been compromised, verify now"
1342,ham email,Invitation to team meeting
1343,ham email,Invitation to team meeting
1344,ham email,Can we reschedule our call?
1345,spam email,Act now to secure your reward
1346,spam email,"Limited offer, earn money fast from home"
1347,ham email,Can we reschedule our call?
1348,spam email,Get rich quick with this simple trick
1349,spam email,"Exclusive deal just for you, click now"
1350,ham email,Project update: tasks completed
1351,spam email,"Congratulations, you won a lottery"
1352,spam email,You have been selected for a prize reward
1353,spam email,"Your account has been compromised, verify now"
1354,spam email,"Your account has been compromised, verify now"
1355,spam email,Claim your free gift card today
1356,ham email,Please find attached the project report
1357,ham email,Meeting scheduled for tomorrow at 10 AM
1358,ham email,Meeting scheduled for tomorrow at 10 AM
1359,spam email,Urgent: update your bank details immediately
1360,ham email,Can we reschedule our call?
1361,spam email,Get rich quick with this simple trick
1362,ham email,"Happy birthday, have a great day"
1363,spam email,"Win a free iPhone now, click here"
1364,spam email,Get rich quick with this simple trick
1365,spam email,"Exclusive deal just for you, click now"
1366,ham email,Weekly report submission
1367,spam email,You have been selected for a prize reward
1368,spam email,You have been selected for a prize reward
1369,ham email,Reminder to submit your timesheet
1370,spam email,Urgent: update your bank details immediately
1371,spam email,Urgent: update your bank details immediately
1372,spam email,You have been selected for a prize reward
1373,ham email,Project update: tasks completed
1374,spam email,"Limited offer, earn money fast from home"
1375,spam email,"Limited offer, earn money fast from home"
1376,ham email,Please find attached the project report
1377,ham email,Please find attached the project report
1378,ham email,Can we reschedule our call?
1379,spam email,You have been selected for a prize reward
1380,ham email,Weekly report submission
1381,ham email,Meeting scheduled for tomorrow at 10 AM
1382,ham email,Project update: tasks completed
1383,spam email,"Exclusive deal just for you, click now"
1384,spam email,"Win a free iPhone now, click here"
1385,spam email,Urgent: update your bank details immediately
1386,ham email,Invitation to team meeting
1387,ham email,Meeting scheduled for tomorrow at 10 AM
1388,spam email,"Your account has been compromised, verify now"
1389,spam email,Act now to secure your reward
1390,spam email,"Limited offer, earn money fast from home"
1391,ham email,Can we reschedule our call?
1392,spam email,You have been selected for a prize reward
1393,ham email,Please find attached the project report
1394,spam email,You have been selected for a prize reward
1395,ham email,Weekly report submission
1396,ham email,Reminder to submit your timesheet
1397,spam email,"Exclusive deal just for you, click now"
1398,ham email,Invitation to team meeting
1399,ham email,Project update: tasks completed
1400,ham email,Project update: tasks completed
1401,ham email,Please find attached the project report
1402,ham email,Let's catch up this weekend
1403,ham email,Let's catch up this weekend
1404,ham email,Let's catch up this weekend
1405,spam email,Claim your free gift card today
1406,ham email,Can we reschedule our call?
1407,spam email,"Limited offer, earn money fast from home"
1408,spam email,Urgent: update your bank details immediately
1409,ham email,Project update: tasks completed
1410,ham email,Reminder to submit your timesheet
1411,ham email,Weekly report submission
1412,spam email,"Limited offer, earn money fast from home"
1413,spam email,Claim your free gift card today
1414,ham email,Lunch plan for today?
1415,spam email,You have been selected for a prize reward
1416,ham email,Lunch plan for today?
1417,spam email,Urgent: update your bank details immediately
1418,spam email,"Limited offer, earn money fast from home"
1419,spam email,Urgent: update your bank details immediately
1420,ham email,Lunch plan for today?
1421,spam email,"Limited offer, earn money fast from home"
1422,ham email,Project update: tasks completed
1423,ham email,Meeting scheduled for tomorrow at 10 AM
1424,ham email,Please find attached the project report
1425,ham email,Can we reschedule our call?
1426,ham email,Please find attached the project report
1427,spam email,Claim your free gift card today
1428,ham email,Lunch plan for today?
1429,ham email,Can we reschedule our call?
1430,ham email,"Happy birthday, have a great day"
1431,spam email,"Your account has been compromised, verify now"
1432,ham email,Project update: tasks completed
1433,spam email,"Congratulations, you won a lottery"
1434,spam email,Claim your free gift card today
1435,spam email,Claim your free gift card today
1436,spam email,"Congratulations, you won a lottery"
1437,ham email,Please find attached the project report
1438,spam email,"Your account has been compromised, verify now"
1439,ham email,Reminder to submit your timesheet
1440,spam email,"Limited offer, earn money fast from home"
1441,ham email,Reminder to submit your timesheet
1442,spam email,Urgent: update your bank details immediately
1443,spam email,Claim your free gift card today
1444,spam email,Get rich quick with this simple trick
1445,spam email,Act now to secure your reward
1446,ham email,Weekly report submission
1447,spam email,"Congratulations, you won a lottery"
1448,spam email,Claim your free gift card today
1449,spam email,"Win a free iPhone now, click here"
1450,ham email,Project update: tasks completed
1451,ham email,"Happy birthday, have a great day"
1452,ham email,Meeting scheduled for tomorrow at 10 AM
1453,spam email,Act now to secure your reward
1454,spam email,"Win a free iPhone now, click here"
1455,ham email,Meeting scheduled for tomorrow at 10 AM
1456,spam email,You have been selected for a prize reward
1457,spam email,"Congratulations, you won a lottery"
1458,ham email,Lunch plan for today?
1459,spam email,"Win a free iPhone now, click here"
1460,spam email,Get rich quick with this simple trick
1461,ham email,Reminder to submit your timesheet
1462,ham email,Invitation to team meeting
1463,spam email,"Your account has been compromised, verify now"
1464,ham email,Project update: tasks completed
1465,spam email,"Congratulations, you won a lottery"
1466,spam email,Urgent: update your bank details immediately
1467,ham email,Project update: tasks completed
1468,spam email,Claim your free gift card today
1469,spam email,"Congratulations, you won a lottery"
1470,spam email,"Win a free iPhone now, click here"
1471,spam email,Act now to secure your reward
1472,spam email,Act now to secure your reward
1473,ham email,Meeting scheduled for tomorrow at 10 AM
1474,spam email,Urgent: update your bank details immediately
1475,spam email,"Limited offer, earn money fast from home"
1476,spam email,"Exclusive deal just for you, click now"
1477,spam email,"Congratulations, you won a lottery"
1478,ham email,Weekly report submission
1479,ham email,Project update: tasks completed
1480,spam email,Act now to secure your reward
1481,spam email,"Win a free iPhone now, click here"
1482,ham email,Lunch plan for today?
1483,spam email,Get rich quick with this simple trick
1484,ham email,Please find attached the project report
1485,spam email,"Exclusive deal just for you, click now"
1486,spam email,Claim your free gift card today
1487,ham email,Lunch plan for today?
1488,ham email,Please find attached the project report
1489,ham email,Reminder to submit your timesheet
1490,ham email,Please find attached the project report
1491,spam email,"Congratulations, you won a lottery"
1492,ham email,Invitation to team meeting
1493,spam email,"Limited offer, earn money fast from home"
1494,ham email,"Happy birthday, have a great day"
1495,spam email,Claim your free gift card today
1496,ham email,Invitation to team meeting
1497,spam email,"Win a free iPhone now, click here"
1498,spam email,Act now to secure your reward
1499,ham email,Lunch plan for today?
1500,spam email,Urgent: update your bank details immediately
1501,ham email,Please find attached the project report
1502,spam email,"Win a free iPhone now, click here"
1503,ham email,Lunch plan for today?
1504,ham email,Please find attached the project report
1505,ham email,Please find attached the project report
1506,ham email,Let's catch up this weekend
1507,spam email,"Congratulations, you won a lottery"
1508,ham email,Weekly report submission
1509,spam email,Claim your free gift card today
1510,ham email,Can we reschedule our call?
1511,ham email,Lunch plan for today?
1512,spam email,Urgent: update your bank details immediately
1513,ham email,Project update: tasks completed
1514,ham email,Please find attached the project report
1515,ham email,Meeting scheduled for tomorrow at 10 AM
1516,spam email,Claim your free gift card today
1517,ham email,Invitation to team meeting
1518,spam email,Get rich quick with this simple trick
1519,spam email,You have been selected for a prize reward
1520,ham email,Reminder to submit your timesheet
1521,ham email,Please find attached the project report
1522,ham email,Let's catch up this weekend
1523,ham email,Let's catch up this weekend
1524,ham email,Lunch plan for today?
1525,ham email,Let's catch up this weekend
1526,spam email,"Your account has been compromised, verify now"
1527,ham email,Reminder to submit your timesheet
1528,ham email,Invitation to team meeting
1529,ham email,Let's catch up this weekend
1530,spam email,"Win a free iPhone now, click here"
1531,ham email,Reminder to submit your timesheet
1532,spam email,"Congratulations, you won a lottery"
1533,spam email,"Your account has been compromised, verify now"
1534,ham email,Meeting scheduled for tomorrow at 10 AM
1535,spam email,"Win a free iPhone now, click here"
1536,ham email,Reminder to submit your timesheet
1537,spam email,Act now to secure your reward
1538,ham email,Meeting scheduled for tomorrow at 10 AM
1539,ham email,"Happy birthday, have a great day"
1540,ham email,Reminder to submit your timesheet
1541,ham email,Meeting scheduled for tomorrow at 10 AM
1542,ham email,Invitation to team meeting
1543,spam email,"Congratulations, you won a lottery"
1544,spam email,You have been selected for a prize reward
1545,spam email,Get rich quick with this simple trick
1546,spam email,Get rich quick with this simple trick
1547,ham email,Invitation to team meeting
1548,spam email,Claim your free gift card today
1549,ham email,Invitation to team meeting
1550,spam email,"Win a free iPhone now, click here"
1551,spam email,"Your account has been compromised, verify now"
1552,spam email,"Congratulations, you won a lottery"
1553,spam email,"Win a free iPhone now, click here"
1554,spam email,"Your account has been compromised, verify now"
1555,ham email,Project update: tasks completed
1556,spam email,"Exclusive deal just for you, click now"
1557,spam email,"Exclusive deal just for you, click now"
1558,ham email,Can we reschedule our call?
1559,spam email,"Exclusive deal just for you, click now"
1560,spam email,"Your account has been compromised, verify now"
1561,ham email,Reminder to submit your timesheet
1562,ham email,Please find attached the project report
1563,ham email,Can we reschedule our call?
1564,spam email,"Limited offer, earn money fast from home"
1565,ham email,Reminder to submit your timesheet
1566,spam email,You have been selected for a prize reward
1567,spam email,Urgent: update your bank details immediately
1568,ham email,Lunch plan for today?
1569,spam email,Act now to secure your reward
1570,spam email,Get rich quick with this simple trick
1571,spam email,"Exclusive deal just for you, click now"
1572,ham email,Let's catch up this weekend
1573,spam email,Claim your free gift card today
1574,spam email,Claim your free gift card today
1575,spam email,Claim your free gift card today
1576,spam email,Get rich quick with this simple trick
1577,spam email,Act now to secure your reward
1578,spam email,Act now to secure your reward
1579,ham email,Project update: tasks completed
1580,spam email,Get rich quick with this simple trick
1581,ham email,Lunch plan for today?
1582,spam email,"Congratulations, you won a lottery"
1583,spam email,"Congratulations, you won a lottery"
1584,spam email,You have been selected for a prize reward
1585,spam email,"Limited offer, earn money fast from home"
1586,spam email,Act now to secure your reward
1587,ham email,Can we reschedule our call?
1588,spam email,Claim your free gift card today
1589,spam email,"Exclusive deal just for you, click now"
1590,ham email,Weekly report submission
1591,ham email,"Happy birthday, have a great day"
1592,ham email,Can we reschedule our call?
1593,spam email,Claim your free gift card today
1594,ham email,Reminder to submit your timesheet
1595,spam email,"Exclusive deal just for you, click now"
1596,spam email,You have been selected for a prize reward
1597,spam email,"Limited offer, earn money fast from home"
1598,spam email,"Your account has been compromised, verify now"
1599,ham email,Weekly report submission
1600,ham email,"Happy birthday, have a great day"
1601,spam email,"Win a free iPhone now, click here"
1602,ham email,Can we reschedule our call?
1603,ham email,Lunch plan for today?
1604,ham email,"Happy birthday, have a great day"
1605,ham email,Lunch plan for today?
1606,ham email,Please find attached the project report
1607,spam email,Get rich quick with this simple trick
1608,ham email,Please find attached the project report
1609,spam email,"Congratulations, you won a lottery"
1610,spam email,Get rich quick with this simple trick
1611,ham email,Project update: tasks completed
1612,ham email,Lunch plan for today?
1613,spam email,"Win a free iPhone now, click here"
1614,spam email,"Limited offer, earn money fast from home"
1615,spam email,Act now to secure your reward
1616,ham email,Lunch plan for today?
1617,ham email,Can we reschedule our call?
1618,spam email,Urgent: update your bank details immediately
1619,spam email,"Win a free iPhone now, click here"
1620,ham email,Project update: tasks completed
1621,ham email,"Happy birthday, have a great day"
1622,spam email,Act now to secure your reward
1623,spam email,"Congratulations, you won a lottery"
1624,spam email,"Limited offer, earn money fast from home"
1625,ham email,"Happy birthday, have a great day"
1626,ham email,Weekly report submission
1627,ham email,Reminder to submit your timesheet
1628,ham email,"Happy birthday, have a great day"
1629,spam email,You have been selected for a prize reward
1630,spam email,Act now to secure your reward
1631,spam email,"Congratulations, you won a lottery"
1632,spam email,"Win a free iPhone now, click here"
1633,ham email,Can we reschedule our call?
1634,spam email,"Your account has been compromised, verify now"
1635,ham email,Meeting scheduled for tomorrow at 10 AM
1636,ham email,Lunch plan for today?
1637,spam email,"Exclusive deal just for you, click now"
1638,ham email,Meeting scheduled for tomorrow at 10 AM
1639,ham email,"Happy birthday, have a great day"
1640,ham email,Meeting scheduled for tomorrow at 10 AM
1641,ham email,Lunch plan for today?
1642,ham email,Project update: tasks completed
1643,spam email,Claim your free gift card today
1644,ham email,Let's catch up this weekend
1645,ham email,Can we reschedule our call?
1646,ham email,Weekly report submission
1647,ham email,"Happy birthday, have a great day"
1648,ham email,Let's catch up this weekend
1649,spam email,Claim your free gift card today
1650,ham email,Lunch plan for today?
1651,ham email,Let's catch up this weekend
1652,ham email,Weekly report submission
1653,ham email,Let's catch up this weekend
1654,spam email,Urgent: update your bank details immediately
1655,spam email,"Limited offer, earn money fast from home"
1656,ham email,Invitation to team meeting
1657,spam email,"Exclusive deal just for you, click now"
1658,ham email,Weekly report submission
1659,spam email,"Your account has been compromised, verify now"
1660,ham email,Project update: tasks completed
1661,spam email,Get rich quick with this simple trick
1662,ham email,Please find attached the project report
1663,spam email,Claim your free gift card today
1664,spam email,Act now to secure your reward
1665,ham email,Reminder to submit your timesheet
1666,spam email,"Exclusive deal just for you, click now"
1667,ham email,Reminder to submit your timesheet
1668,spam email,"Congratulations, you won a lottery"
1669,ham email,Meeting scheduled for tomorrow at 10 AM
1670,ham email,Meeting scheduled for tomorrow at 10 AM
1671,spam email,You have been selected for a prize reward
1672,spam email,Claim your free gift card today
1673,spam email,Urgent: update your bank details immediately
1674,ham email,Let's catch up this weekend
1675,ham email,Meeting scheduled for tomorrow at 10 AM
1676,ham email,Project update: tasks completed
1677,ham email,Weekly report submission
1678,spam email,Act now to secure your reward
1679,ham email,Please find attached the project report
1680,ham email,Lunch plan for today?
1681,spam email,Act now to secure your reward
1682,ham email,Weekly report submission
1683,spam email,"Win a free iPhone now, click here"
1684,spam email,"Exclusive deal just for you, click now"
1685,ham email,Meeting scheduled for tomorrow at 10 AM
1686,spam email,Get rich quick with this simple trick
1687,spam email,Claim your free gift card today
1688,ham email,Reminder to submit your timesheet
1689,ham email,Can we reschedule our call?
1690,spam email,Act now to secure your reward
1691,ham email,Invitation to team meeting
1692,spam email,Urgent: update your bank details immediately
1693,spam email,You have been selected for a prize reward
1694,spam email,Get rich quick with this simple trick
1695,ham email,Meeting scheduled for tomorrow at 10 AM
1696,spam email,Act now to secure your reward
1697,ham email,Please find attached the project report
1698,spam email,"Exclusive deal just for you, click now"
1699,ham email,Can we reschedule our call?
1700,ham email,"Happy birthday, have a great day"
1701,spam email,Get rich quick with this simple trick
1702,ham email,Can we reschedule our call?
1703,spam email,"Your account has been compromised, verify now"
1704,ham email,Lunch plan for today?
1705,ham email,Weekly report submission
1706,ham email,Project update: tasks completed
1707,ham email,Please find attached the project report
1708,spam email,"Congratulations, you won a lottery"
1709,ham email,Can we reschedule our call?
1710,ham email,Can we reschedule our call?
1711,spam email,Get rich quick with this simple trick
1712,spam email,Get rich quick with this simple trick
1713,spam email,"Exclusive deal just for you, click now"
1714,ham email,Weekly report submission
1715,spam email,"Your account has been compromised, verify now"
1716,ham email,Weekly report submission
1717,ham email,Project update: tasks completed
1718,spam email,"Exclusive deal just for you, click now"
1719,ham email,Lunch plan for today?
1720,spam email,You have been selected for a prize reward
1721,ham email,Project update: tasks completed
1722,spam email,"Exclusive deal just for you, click now"
1723,spam email,"Limited offer, earn money fast from home"
1724,spam email,Act now to secure your reward
1725,spam email,Urgent: update your bank details immediately
1726,spam email,Act now to secure your reward
1727,ham email,Invitation to team meeting
1728,spam email,"Win a free iPhone now, click here"
1729,spam email,"Win a free iPhone now, click here"
1730,ham email,Meeting scheduled for tomorrow at 10 AM
1731,spam email,"Win a free iPhone now, click here"
1732,ham email,Can we reschedule our call?
1733,spam email,"Your account has been compromised, verify now"
1734,ham email,Project update: tasks completed
1735,spam email,"Your account has been compromised, verify now"
1736,spam email,Get rich quick with this simple trick
1737,spam email,"Exclusive deal just for you, click now"
1738,spam email,Claim your free gift card today
1739,spam email,Act now to secure your reward
1740,spam email,"Win a free iPhone now, click here"
1741,spam email,"Your account has been compromised, verify now"
1742,spam email,"Your account has been compromised, verify now"
1743,ham email,"Happy birthday, have a great day"
1744,spam email,"Congratulations, you won a lottery"
1745,ham email,Project update: tasks completed
1746,ham email,Let's catch up this weekend
1747,ham email,Please find attached the project report
1748,ham email,Let's catch up this weekend
1749,ham email,Can we reschedule our call?
1750,ham email,Project update: tasks completed
1751,spam email,Urgent: update your bank details immediately
